Member Phone No,ActSpeedDS,ActSpeedUS,ActAvgDaySpontResyncs,ActDSLStability,ActDSLConnType,DSLAMName,LWC,Urbanistion,UBAForecast,EstAttn160Hi,EstAttn160Lo,EstDSSpeedHi,EstDSSpeedLo,EstUSSpeedHi,EstUSSpeedLo,EUBA,BUBA,WVS,LAPRestriction,CabnietisationDate,CabnetisationName,Locality Id,Connector Id,Line_Sharing_Cable_Pair,LWC_Is_Cabinet,BUBA_Coverage_Area,EUBA_Coverage_Area,Baseband_Copper_Capable,ActBBProductType
,,,,,,,,,,,,,,,,,,,,,,,FF11/13,,Y,Marlborough / North Canterbury,RANGIORA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL37/758,,Y,North Auckland,RED BEACH,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BD23/2,,Y,South Canterbury,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BM53/11,,N,Wellington Suburbs,WELLINGTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM08/594,,Y,South Auckland,PAPATOETOE,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM29/463,,N,Banks,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,R121/48,,N,Northland,WHANGAREI,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL23/553,,N,Banks,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM05/594,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL53/903,,Y,Counties,PAPATOETOE,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,CT77/1,,Y,South Canterbury,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DM77/7,,Y,Wellington Suburbs,PORIRUA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TP61/231,,Y,Marlborough / North Canterbury,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,ES37/1,,N,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,CB38/A,,N,West Auckland,MT ALBERT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GU25/3,,Y,Hobsonville,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM07/852,,N,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM14/662,,Y,South Auckland,PAPATOETOE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DG23/3,,N,North Waikato / Coromandel,THAMES,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL91/242,,Y,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TP56/892,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL08/31,,Y,Christchurch North,CHRISTCHURCH,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GD72/10,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,S27/6,,N,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BN43/2,,Y,West Auckland,HENDERSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GQ45/1,,N,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FM29/1,,N,Manawatu,PARAPARAUMU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EM25/5,,Y,Tamaki,REMUERA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TP68/743,,Y,Banks,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TP56/178,,Y,Nelson,NELSON,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL48/628,,Y,North Waikato / Coromandel,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL76/867,,Y,Northland,WELLSFORD,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DM21A/U,,N,Auckland Central,MAYORAL DRIVE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BR54/G,,N,Wellington Central,WELLINGTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM05/348,,N,Auckland Central,MAYORAL DRIVE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,X62/41,,Y,Grafton,MAYORAL DRIVE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,Q21/7,,Y,Hutt / Wairarapa,NAENAE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL24/696,,Y,Christchurch North,CHRISTCHURCH,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DM22A/E,,N,Auckland Central,MAYORAL DRIVE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL28/323,,N,South Auckland,PAPATOETOE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TP58/291,,Y,Nelson,NELSON,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,D6/7,,Y,Central,TAUPO,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DG26/5,,Y,Auckland Central,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FT73/15,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GT33/1,,N,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM19/604,,N,North Auckland,RED BEACH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TP70/658,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EL60/15,,Y,South Auckland,PAPATOETOE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL34/242,,Y,North Auckland,TORBAY,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL43/987,,N,North Auckland,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL59/516,,N,Counties,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,M24/16,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL62/521,,N,West Auckland,MT ALBERT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,L18/17,,N,Hamilton,HAMILTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL43/826,,Y,South Canterbury,CROMWELL,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL99/219,,Y,Counties,PAPAKURA,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AF64/30,,N,South Auckland,PAPATOETOE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HQ76/7,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL59/657,,Y,Eastern Suburbs,PAPATOETOE,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,I98/A,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL77/583,,N,Northland,WHANGAREI,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL63/829,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL76/847,,Y,North Auckland,TORBAY,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL84/761,,N,Tauranga,TAURANGA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GU70/2,,Y,Marlborough / North Canterbury,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL46/257,,Y,Eastern Suburbs,HOWICK,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL62/9,,Y,North Waikato / Coromandel,HAMILTON,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AV23/7,,Y,West Auckland,HENDERSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GE37/1,,Y,Taranaki,NEW PLYMOUTH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FF62/D,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,M24/B,,N,Tauranga,TAURANGA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,M24/B,,N,Tauranga,TAURANGA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DN20/N,1624129336,N,Auckland Central,MAYORAL DRIVE,Y,
,,,,,,,,,,,,,,,,,,,,,,,TL78/557,,Y,Wellington Central,WELLINGTON,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TP21/369,,Y,Tauranga,MT MAUNGANUI,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL80/684,,Y,East Coast Bays,TORBAY,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM11/384,,Y,Eastern Suburbs,HOWICK,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL35/464,,N,Hutt / Wairarapa,FEATHERSTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TP21/292,,Y,North Waikato / Coromandel,TAURANGA,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM16/381,,Y,Hutt / Wairarapa,NAENAE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL94/131,,Y,Eastern Suburbs,PAPATOETOE,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM24/497,,Y,Northland,WARKWORTH,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM05/432,,N,Auckland Central,MAYORAL DRIVE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM09/318,,N,North Auckland,RED BEACH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL44/732,,Y,North Auckland,RED BEACH,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GS76/3,,N,North Auckland,HENDERSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,CALL SAC,,,,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GJ26/5,,Y,Hawkes Bay,NAPIER,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM07/193,,N,Northland,KERIKERI,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TP56/634,,Y,Nelson,NELSON,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GU56/3,,Y,Counties,PAPAKURA,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BT11/1,,Y,North Waikato / Coromandel,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL57/135,,Y,Southland,QUEENSTOWN,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EC08/D,,N,Northland,WHANGAREI,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DP04/AA,,N,North Shore,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM25/690,,Y,Manawatu,PALMERSTON NORTH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BU36/1,,Y,North Auckland,TORBAY,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM31/457,,Y,Hillsborough,MT ALBERT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AP45/4,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DC20/29,,N,Grey Lynn,MAYORAL DRIVE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DJ78/7,,N,Wellington Suburbs,PORIRUA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUBA
